no,message,description,id,page_id,full_text,locations
0,"Historic #Ani ruins in Kars, was included in the UNESCO World Cultural Heritage List, as of 15 July 2016. Explore Turkey's wonderful historical tales at the country's sixteen world heritage sites.

http://www.goturkeytourism.com/things-to-do/unesco-world-heritage-sites-in-turkey.html

#HomeOf #VisitTurkey #UNESCOWorldHeritages",,106311692724981_1255764354446370,goturkeytourism,"Historic #Ani ruins in Kars, was included in the UNESCO World Cultural Heritage List, as of 15 July 2016. Explore Turkey's wonderful historical tales at the country's sixteen world heritage sites.

 

#HomeOf #VisitTurkey #UNESCOWorldHeritages ",Kars$$Turkey
1,"#Izmir, Turkey's 3rd largest city on the #Aegean coast, has nearly 50 blue flag #beaches for vivid summer days and swimming on the coast to relax.
http://www.goturkeytourism.com/destinations-turkey/blue-flag-beaches-in-izmir.html

#HomeOf #BlueFlag #Turkey #Coast","Izmir, the southern Aegean city of Turkey, has nearly 43 clean beaches in total that awarded with the blue flag.",106311692724981_998527036836771,goturkeytourism,"#Izmir, Turkey's 3rd largest city on the #Aegean coast, has nearly 50 blue flag #beaches for vivid summer days and swimming on the coast to relax.
 

#HomeOf #BlueFlag #Turkey #Coast Izmir, the southern Aegean city of Turkey, has nearly 43 clean beaches in total that awarded with the blue flag.",Izmir$$Turkey$$Aegean
2,"#Akdamar Island is the 2nd largest island in Lake #Van, in eastern Turkey, roughly 4 km from the shore, home to 10th century Akdamar Church.

http://www.goturkeytourism.com/destinations-turkey/akdamar-island-in-van-turkey.html

#HomeOf #AkdamarIsland #AkdamarChurch #Turkey",Akdamar Island is the largest of the islands in Lake Van and very famous with its unique churches.,106311692724981_998518426837632,goturkeytourism,"#Akdamar Island is the 2nd largest island in Lake #Van, in eastern Turkey, roughly 4 km from the shore, home to 10th century Akdamar Church.

 

#HomeOf #AkdamarIsland #AkdamarChurch #Turkey Akdamar Island is the largest of the islands in Lake Van and very famous with its unique churches.",Lake #Van$$#Akdamar Island$$Akdamar Island$$Lake Van$$Turkey
3,"Turkish Art of Marbling, also known as #Ebru in Turkish, has been listed as an Intangible Cultural Heritage of Humanity by #UNESCO.

http://www.goturkeytourism.com/things-to-do/ebru-turkish-art-of-marbling-unesco-turkey.html

#HomeOf #TurkishArt #Marbling #Turkey",Ebru is the stunning traditional Turkish art of creating amazing and colorful patterns.,106311692724981_998512323504909,goturkeytourism,"Turkish Art of Marbling, also known as #Ebru in Turkish, has been listed as an Intangible Cultural Heritage of Humanity by #UNESCO.

 

#HomeOf #TurkishArt #Marbling #Turkey Ebru is the stunning traditional Turkish art of creating amazing and colorful patterns.",
4,"Turkey: Home of Turquoise Waters
If you are looking for turquoise waters to dive into, look no further!

#HomeOf #Turquoise #Turkey",,106311692724981_962033233819485,goturkeytourism,"Turkey: Home of Turquoise Waters
If you are looking for turquoise waters to dive into, look no further!

#HomeOf #Turquoise #Turkey ",Turkey
5,"On these winter days the nostalgic tramway at Istiklal Street of Taksim becomes one of Istanbul's symbols.

#Taksim #IstiklalStreet #Istanbul #Turkey",,106311692724981_928811107141698,goturkeytourism,"On these winter days the nostalgic tramway at Istiklal Street of Taksim becomes one of Istanbul's symbols.

#Taksim #IstiklalStreet #Istanbul #Turkey ",Istanbul$$Istiklal Street of Taksim
6,"Istanbul Convention & Visitors Bureau (ICVB), Turkeyâ€™s first destination marketing bureau.
http://www.goturkeytourism.com/meeting-turkey/istanbul-convention-visitors-bureau.html

#HomeOf #ICVB #Istanbul #Turkey","ICVB is ready to bring you the best hotels, meeting facilities, incentive ideas and the 3rd party companies.",106311692724981_921196344569841,goturkeytourism,"Istanbul Convention & Visitors Bureau (ICVB), Turkeys first destination marketing bureau.
 

#HomeOf #ICVB #Istanbul #Turkey ICVB is ready to bring you the best hotels, meeting facilities, incentive ideas and the 3rd party companies.",
7,"Izmir, the frontier city of Turkey with its 8,500 years of history, 3rd largest economy and culture. Watch this lovely video and experience Izmir.

#HomeOf #Izmir #Turkey #VisitTurkey","Izmir, the beautiful cit of Turkey.",106311692724981_916646378358171,goturkeytourism,"Izmir, the frontier city of Turkey with its 8,500 years of history, 3rd largest economy and culture. Watch this lovely video and experience Izmir.

#HomeOf #Izmir #Turkey #VisitTurkey Izmir, the beautiful cit of Turkey.",Izmir$$Turkey
8,"Turkey: Home of Whirling Dervishes, Konya

Whirling dervish performances are as spiritual as they are beautiful. You need to experience this mysticism once in your life.

#HomeOf #WhirlingDervishes #Mysticism #Konya #Rumi",,106311692724981_845931218763021,goturkeytourism,"Turkey: Home of Whirling Dervishes, Konya

Whirling dervish performances are as spiritual as they are beautiful. You need to experience this mysticism once in your life.

#HomeOf #WhirlingDervishes #Mysticism #Konya #Rumi ",Turkey$$Konya
9,"Top 10 Beach Destinations in Turkey
http://www.goturkeytourism.com/destinations-turkey/top-10-beach-destinations-in-turkey.html

#HomeOf #Top10 #BeachDestinations #Turkey","There are beautiful beaches all over Turkey, see below for the top 10 beach destinations in Turkey.",106311692724981_841228135899996,goturkeytourism,"Top 10 Beach Destinations in Turkey
 

#HomeOf #Top10 #BeachDestinations #Turkey There are beautiful beaches all over Turkey, see below for the top 10 beach destinations in Turkey.",Turkey
10,"Turkey: Home of Historical Places
http://www.goturkeytourism.com/things-to-do/historical-places-in-turkey.html

#HomeOf #Historical #Places #Turkey","Historical places in Turkey, the greatest wealth of Turkey is probably history.",106311692724981_839609179395225,goturkeytourism,"Turkey: Home of Historical Places
 

#HomeOf #Historical #Places #Turkey Historical places in Turkey, the greatest wealth of Turkey is probably history.",Turkey
11,"Tourist Information Centres of Turkey
http://www.goturkeytourism.com/planning-holiday/tourist-information-centres-of-turkey.html

#HomeOf #Tourist #Information #Turkey",Tourist information centres have knowledgeable local staff with all the information you need to know.,106311692724981_819626678060142,goturkeytourism,"Tourist Information Centres of Turkey
 

#HomeOf #Tourist #Information #Turkey Tourist information centres have knowledgeable local staff with all the information you need to know.",Turkey
12,"Turkey: Home of Rize
There are very few places in Rize, with curved stone bridges like this one.

#HomeOf #Rize #StoneBridge #Turkey",,106311692724981_812694675420009,goturkeytourism,"Turkey: Home of Rize
There are very few places in Rize, with curved stone bridges like this one.

#HomeOf #Rize #StoneBridge #Turkey ",Turkey
13,"Turkey: Home of Enlightenment
Come and visit one of the world's oldest libraries in Ephesus.

#HomeOf #Ephesus #Wonder #Turkey",,106311692724981_796259530396857,goturkeytourism,"Turkey: Home of Enlightenment
Come and visit one of the world's oldest libraries in Ephesus.

#HomeOf #Ephesus #Wonder #Turkey ",Turkey$$Ephesus
14,"Turkey coal mine explosion. Three days of national mourning have been declared in Turkey. Our hearts are with all the families who have lost loved ones in the tragic Soma mine accident. Please pray for Turkey.

#HomeOf #NationalMourning #Soma #Turkey #PrayForTurkey",,106311692724981_783074228382054,goturkeytourism,"Turkey coal mine explosion. Three days of national mourning have been declared in Turkey. Our hearts are with all the families who have lost loved ones in the tragic Soma mine accident. Please pray for Turkey.

#HomeOf #NationalMourning #Soma #Turkey #PrayForTurkey ",Turkey$$Soma
15,"Turkey: Home of Lycian Tombs

#LycianTombs #Turkey",,106311692724981_758193457536798,goturkeytourism,"Turkey: Home of Lycian Tombs

#LycianTombs #Turkey ",Turkey
16,"Gocek is a small holiday town in Fethiye district in Mugla, Turkey. Have you ever been to Gocek before?

#Gocek #Fethiye #Turkey",,106311692724981_735723676450443,goturkeytourism,"Gocek is a small holiday town in Fethiye district in Mugla, Turkey. Have you ever been to Gocek before?

#Gocek #Fethiye #Turkey ",Mugla$$Fethiye$$Turkey
17,"Have you ever visited this beautiful corner where sandy beaches meet the blue sea?

#Oludeniz #Turkey",,106311692724981_714196291936515,goturkeytourism,"Have you ever visited this beautiful corner where sandy beaches meet the blue sea?

#Oludeniz #Turkey ",
